iter,facex,facey,t2
147,8.486357e+01,6.256637e+01,0.091872
148,8.399622e+01,6.581627e+01,0.078723
149,8.348523e+01,6.756834e+01,0.065549
150,8.305675e+01,7.115869e+01,0.108511
151,8.298306e+01,7.166817e+01,0.074090
152,8.303683e+01,7.444444e+01,0.063673
153,8.337774e+01,7.555111e+01,0.067638
154,8.366370e+01,7.676278e+01,0.068382
155,8.373285e+01,7.785951e+01,0.065939
156,8.368056e+01,7.860973e+01,0.067837
157,8.354590e+01,7.899660e+01,0.065563
158,8.345535e+01,7.929453e+01,0.058484
159,8.340999e+01,7.947836e+01,0.069821
160,8.339062e+01,7.948648e+01,0.068612
161,8.329391e+01,7.955501e+01,0.068064
162,8.313483e+01,7.929123e+01,0.063743
163,8.314149e+01,7.875095e+01,0.070569
164,8.318542e+01,7.854471e+01,0.071391
165,8.348267e+01,7.716078e+01,0.065057
166,8.369408e+01,7.619884e+01,0.094024
167,8.387711e+01,7.471151e+01,0.066505
168,8.385637e+01,7.333974e+01,0.064562
169,8.387890e+01,7.160623e+01,0.100229
170,8.404768e+01,6.864488e+01,0.112760
171,8.436291e+01,6.574438e+01,0.132161
172,8.474850e+01,6.284010e+01,0.160958
173,8.499980e+01,6.084534e+01,0.082834
174,8.510098e+01,5.935570e+01,0.065009
175,8.545151e+01,5.893398e+01,0.163037
176,8.803669e+01,5.839001e+01,0.067499
177,8.918867e+01,5.841796e+01,0.064950
178,9.382368e+01,5.844237e+01,0.065325
179,9.874292e+01,5.832565e+01,0.063732
180,1.075632e+02,5.818512e+01,0.076280
181,1.112717e+02,5.825866e+01,0.076409
182,1.151325e+02,5.856361e+01,0.070236
183,1.188293e+02,5.902338e+01,0.069827
184,1.223351e+02,5.948553e+01,0.064346
185,1.254456e+02,6.024094e+01,0.066996
186,1.262642e+02,6.045176e+01,0.069107
187,1.281809e+02,6.115888e+01,0.064404
188,1.297542e+02,6.193700e+01,0.104206
189,1.274392e+02,6.171788e+01,0.132486
190,1.232410e+02,6.073560e+01,0.071283
191,1.191468e+02,6.002702e+01,0.066683
192,1.137042e+02,5.938602e+01,0.086952
193,1.110089e+02,5.908121e+01,0.082339
194,1.030242e+02,5.794035e+01,0.081175
195,9.941055e+01,5.762043e+01,0.053433
196,9.825215e+01,5.751131e+01,0.057209
197,9.237677e+01,5.692500e+01,0.070862
198,8.753873e+01,5.629460e+01,0.089887
199,8.372122e+01,5.588155e+01,0.060892
200,8.002443e+01,5.556160e+01,0.074970
201,7.648687e+01,5.526765e+01,0.051035
202,7.288228e+01,5.491965e+01,0.076300
203,6.897576e+01,5.474824e+01,0.062383
204,6.411809e+01,5.471116e+01,0.099467
205,6.029954e+01,5.477935e+01,0.081759
206,5.670945e+01,5.521832e+01,0.080315
207,5.374270e+01,5.589768e+01,0.066947
208,5.037545e+01,5.677804e+01,0.068025
209,4.693661e+01,5.796655e+01,0.071761
210,4.283783e+01,5.889143e+01,0.119874
211,3.951845e+01,5.964251e+01,0.065368
212,3.808204e+01,5.954559e+01,0.073375
213,3.721525e+01,5.963802e+01,0.077348
214,3.717828e+01,5.974645e+01,0.064097
215,3.735043e+01,5.978801e+01,0.076059
216,4.041257e+01,5.939735e+01,0.067374
217,4.397805e+01,5.867052e+01,0.071005
218,5.027843e+01,5.762418e+01,0.073972
219,5.198478e+01,5.744117e+01,0.062164
220,6.080244e+01,5.676720e+01,0.075827
221,6.261803e+01,5.663174e+01,0.077166
222,7.090280e+01,5.694984e+01,0.063489
223,7.462425e+01,5.765521e+01,0.062103
224,7.568101e+01,5.782790e+01,0.071350
225,7.855180e+01,5.799042e+01,0.065409
226,8.099550e+01,5.776669e+01,0.065605
227,8.476524e+01,5.531548e+01,0.102862
228,8.572588e+01,5.281192e+01,0.073693
229,8.649300e+01,4.999157e+01,0.069651
230,8.741488e+01,4.525413e+01,0.097112
231,8.756706e+01,4.199181e+01,0.082410
232,8.751793e+01,3.912740e+01,0.092936
233,8.738072e+01,3.606009e+01,0.083527
234,8.727511e+01,3.341572e+01,0.073970
235,8.727814e+01,3.157565e+01,0.088541
236,8.727699e+01,3.140862e+01,0.103421
237,8.723595e+01,3.423946e+01,0.077433
238,8.707728e+01,3.769590e+01,0.108919
239,8.647636e+01,4.160020e+01,0.159184
240,8.644525e+01,4.369815e+01,0.102217
241,8.696065e+01,4.574536e+01,0.100003
242,8.749200e+01,4.910885e+01,0.070597
243,8.836014e+01,5.109825e+01,0.079881
244,8.861429e+01,5.223736e+01,0.101870
245,8.828596e+01,5.216226e+01,0.071083
246,8.850948e+01,5.150155e+01,0.084139
247,8.685907e+01,5.352714e+01,0.128789
248,8.664342e+01,6.011142e+01,0.172281
249,8.612343e+01,6.665781e+01,0.073738
250,8.586298e+01,6.538651e+01,0.071971
251,8.563145e+01,6.553558e+01,0.086121
252,8.565884e+01,6.618762e+01,0.127021
253,8.614726e+01,6.687914e+01,0.218961
254,8.653072e+01,6.947111e+01,0.150921
255,8.637833e+01,7.079393e+01,0.152216
256,8.670227e+01,7.046742e+01,0.104057
257,8.664104e+01,7.012384e+01,0.109082
258,8.672466e+01,7.001633e+01,0.099498
259,8.678185e+01,6.990991e+01,0.080266
260,8.641760e+01,6.883862e+01,0.081053
261,8.627622e+01,6.857456e+01,0.090090
262,8.658582e+01,6.822267e+01,0.101338
263,8.707437e+01,6.816434e+01,0.081618
264,8.734267e+01,6.756809e+01,0.073125
265,8.793944e+01,6.446686e+01,0.103097
266,8.781046e+01,6.032816e+01,0.123450
267,8.709944e+01,5.845794e+01,0.073198
268,8.629362e+01,5.670879e+01,0.080313
269,8.529945e+01,5.131467e+01,0.131960
270,8.589073e+01,4.966215e+01,0.148879
271,8.623156e+01,4.941417e+01,0.151012
272,8.727334e+01,4.962545e+01,0.092231
273,8.795477e+01,5.101651e+01,0.097423
274,8.718636e+01,5.271957e+01,0.061997
275,8.685855e+01,5.389353e+01,0.062383
276,8.604445e+01,5.495892e+01,0.068281
277,8.620956e+01,5.678486e+01,0.075239
278,8.696355e+01,5.881756e+01,0.091546
279,8.759069e+01,6.016381e+01,0.077011
280,8.800078e+01,6.008576e+01,0.054511
281,8.822034e+01,6.010075e+01,0.066661
282,8.822710e+01,6.036204e+01,0.058479
283,8.793617e+01,6.049579e+01,0.058758
284,8.767642e+01,6.050858e+01,0.058445
285,8.748062e+01,6.061198e+01,0.235744
286,8.738086e+01,6.098481e+01,0.061417
